X,Y,TYPE
3668,3216,MOVE
3668,3217,MOVE
3668,3219,MOVE
3668,3220,MOVE
3671,3221,MOVE
3676,3220,MOVE
3676,3220,UP
3676,3220,MOVE
3676,3220,DOWN
225,288,MOVE
225,289,MOVE
225,290,MOVE
225,291,MOVE
225,291,UP
225,291,MOVE
225,291,DOWN
459,613,MOVE
459,613,UP
459,613,MOVE
459,613,DOWN
2096,3738,MOVE
2098,3736,MOVE
2100,3733,MOVE
2100,3733,UP
2100,3733,MOVE
2100,3733,DOWN
2980,3665,MOVE
2980,3666,MOVE
2982,3666,MOVE
2982,3666,UP
2982,3666,MOVE
2982,3666,DOWN
2774,1059,MOVE
2773,1059,MOVE
2770,1059,MOVE
2766,1057,MOVE
2765,1056,MOVE
2765,1056,UP
2765,1056,MOVE
2765,1056,DOWN
2655,1720,MOVE
2655,1720,UP
2655,1720,MOVE
2655,1720,DOWN
2333,1407,MOVE
2331,1407,MOVE
2329,1407,MOVE
2325,1407,MOVE
2322,1406,MOVE
2322,1406,UP
2322,1406,MOVE
2322,1406,DOWN
1387,1804,MOVE
1387,1805,MOVE
1387,1805,UP
1387,1805,MOVE
1387,1805,DOWN
1571,1785,MOVE
1571,1786,MOVE
1569,1785,MOVE
1569,1785,UP
1569,1785,MOVE
1569,1785,DOWN
1669,2369,MOVE
1669,2370,MOVE
1669,2371,MOVE
1669,2373,MOVE
1671,2373,MOVE
1673,2373,MOVE
1673,2373,UP
1673,2373,MOVE
1673,2373,DOWN
1836,1822,MOVE
1838,1822,MOVE
1838,1822,UP
1838,1822,MOVE
1838,1822,DOWN
1843,2445,MOVE
1847,2445,MOVE
1850,2445,MOVE
1850,2445,UP
1850,2445,MOVE
1850,2445,DOWN
2980,1091,MOVE
2980,1092,MOVE
2980,1092,UP
2980,1092,MOVE
2980,1092,DOWN
2928,1772,MOVE
2930,1754,MOVE
2938,1697,MOVE
2964,1588,MOVE
3009,1444,MOVE
3079,1266,MOVE
3181,1053,MOVE
3324,805,MOVE
3494,565,MOVE
3623,349,MOVE
3783,78,MOVE
3783,78,UP
3783,78,MOVE
3783,78,DOWN
2618,1606,MOVE
2617,1606,MOVE
2623,1606,MOVE
2623,1606,UP
2623,1606,MOVE
2623,1606,DOWN
2872,1210,MOVE
2873,1209,MOVE
2874,1208,MOVE
2874,1208,UP
2874,1208,MOVE
2874,1208,DOWN
2719,1994,MOVE
2718,1994,MOVE
2721,1993,MOVE
2721,1993,UP
2721,1993,MOVE
2721,1993,DOWN
3133,1357,MOVE
3134,1356,MOVE
3137,1356,MOVE
3137,1356,UP
3137,1356,MOVE
3137,1356,DOWN
2839,858,MOVE
2840,858,MOVE
2842,859,MOVE
2843,858,MOVE
2844,858,MOVE
2847,857,MOVE
2851,857,MOVE
2851,857,UP
2851,857,MOVE
2851,857,DOWN
3057,870,MOVE
3058,869,MOVE
3058,870,MOVE
3059,870,MOVE
3063,870,MOVE
3069,869,MOVE
3069,869,UP
3069,869,MOVE
3069,869,DOWN
3214,1219,MOVE
3213,1219,MOVE
3212,1219,MOVE
3215,1218,MOVE
3220,1216,MOVE
3220,1216,UP
3220,1216,MOVE
3220,1216,DOWN
3858,207,MOVE
3858,208,MOVE
3860,209,MOVE
3860,209,UP
3860,209,MOVE
3860,209,DOWN
3817,288,MOVE
3821,288,MOVE
3823,286,MOVE
3823,286,UP
3823,286,MOVE
3823,286,DOWN
3487,677,MOVE
3487,678,MOVE
3487,679,MOVE
3487,680,MOVE
3487,680,UP
3487,680,MOVE
3487,680,DOWN
3113,1516,MOVE
3113,1516,UP
3113,1516,MOVE
3113,1516,DOWN
2980,1483,MOVE
2978,1491,MOVE
2970,1518,MOVE
2960,1581,MOVE
2957,1687,MOVE
2968,1828,MOVE
3007,2007,MOVE
3081,2224,MOVE
3201,2479,MOVE
3348,2727,MOVE
3535,2972,MOVE
3791,3311,MOVE
3791,3311,UP
3791,3311,MOVE
3791,3311,DOWN
2578,2280,MOVE
2577,2281,MOVE
2580,2281,MOVE
2580,2281,UP
2580,2281,MOVE
2580,2281,DOWN
2770,2349,MOVE
2769,2348,MOVE
2771,2348,MOVE
2771,2348,UP
2771,2348,MOVE
2771,2348,DOWN
3203,1449,MOVE
3202,1448,MOVE
3200,1448,MOVE
3198,1448,MOVE
3197,1448,MOVE
3196,1447,MOVE
3196,1447,UP
3196,1447,MOVE
3196,1447,DOWN
2694,1018,MOVE
2692,1017,MOVE
2690,1017,MOVE
2685,1013,MOVE
2685,1013,UP
2685,1013,MOVE
2685,1013,DOWN
2731,1252,MOVE
2731,1252,UP
2731,1252,MOVE
2731,1252,DOWN
2627,1913,MOVE
2620,1890,MOVE
2614,1814,MOVE
2626,1663,MOVE
2673,1459,MOVE
2771,1203,MOVE
2946,746,MOVE
2946,746,UP
2946,746,MOVE
2946,746,DOWN
2801,1455,MOVE
2801,1455,MOVE
2799,1455,MOVE
2798,1455,MOVE
2798,1452,MOVE
2798,1452,UP
2798,1452,MOVE
2798,1452,DOWN
2727,1592,MOVE
2724,1592,MOVE
2724,1592,UP
2724,1592,MOVE
2724,1592,DOWN
